,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
10356,2004-06,Iowa,2621.0,,19.0,1781.0,,1,9.0,0.0,2.0,,2.0,125.0,,,,,,,,,,,,,4560
10357,2004-06,Kansas,0.0,,1625.0,2890.0,,104,0.0,10.0,3.0,,236.0,399.0,,,,,,,,,,,,,5267
10358,2004-06,Kentucky,0.0,,4542.0,5491.0,,323,0.0,6.0,12.0,,1078.0,1661.0,,,,,,,,,,,,,13113
10359,2004-06,Louisiana,0.0,,3748.0,3742.0,,176,0.0,3.0,4.0,,757.0,1067.0,,,,,,,,,,,,,9497
10360,2004-06,Maine,0.0,,982.0,1677.0,,60,0.0,13.0,39.0,,44.0,122.0,,,,,,,,,,,,,2937
10361,2004-06,Mariana Islands,0.0,,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0
10362,2004-06,Maryland,1835.0,,58.0,2684.0,,5,0.0,1.0,0.0,,47.0,85.0,,,,,,,,,,,,,4715
10363,2004-06,Massachusetts,3329.0,,1523.0,1008.0,,43,2185.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,8088
10364,2004-06,Michigan,10358.0,,2542.0,8122.0,,65,0.0,0.0,15.0,,1.0,264.0,,,,,,,,,,,,,21367
10365,2004-06,Minnesota,5215.0,,2756.0,5998.0,,113,0.0,3.0,4.0,,65.0,467.0,,,,,,,,,,,,,14621
10366,2004-06,Mississippi,0.0,,2580.0,2999.0,,171,0.0,41.0,86.0,,791.0,1226.0,,,,,,,,,,,,,7894
10367,2004-06,Missouri,0.0,,3392.0,6748.0,,117,0.0,3.0,9.0,,167.0,1183.0,,,,,,,,,,,,,11619
10368,2004-06,Montana,359.0,,1255.0,3115.0,,126,11.0,3.0,30.0,,310.0,820.0,,,,,,,,,,,,,6029
10369,2004-06,Nebraska,1046.0,,10.0,1392.0,,2,0.0,0.0,2.0,,2.0,74.0,,,,,,,,,,,,,2528
10370,2004-06,Nevada,0.0,,1798.0,1710.0,,104,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,3612
10371,2004-06,New Hampshire,1113.0,,1045.0,1477.0,,8,0.0,0.0,0.0,,0.0,4.0,,,,,,,,,,,,,3647
10372,2004-06,New Jersey,0.0,,1174.0,1237.0,,57,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,2468
10373,2004-06,New Mexico,0.0,,1758.0,2276.0,,128,0.0,3.0,4.0,,389.0,726.0,,,,,,,,,,,,,5284
10374,2004-06,New York,2266.0,,686.0,5400.0,,5,196.0,72.0,0.0,,0.0,5.0,,,,,,,,,,,,,8630
10375,2004-06,North Carolina,6320.0,,160.0,6582.0,,93,0.0,14.0,23.0,,1045.0,1699.0,,,,,,,,,,,,,15936
10376,2004-06,North Dakota,195.0,,319.0,1296.0,,14,0.0,0.0,0.0,,22.0,135.0,,,,,,,,,,,,,1981
10377,2004-06,Ohio,0.0,,8839.0,9361.0,,405,0.0,16.0,49.0,,498.0,751.0,,,,,,,,,,,,,19919
10378,2004-06,Oklahoma,0.0,,3188.0,4382.0,,322,0.0,7.0,23.0,,807.0,1608.0,,,,,,,,,,,,,10337
10379,2004-06,Oregon,48.0,,3670.0,6144.0,,247,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,10109
